sig	mint	ts	side	fee	nat_d	wsol_d	tok_d	dec	pool	base_pre	base_post	quote_pre	quote_post	prog	nonce	rent_d	tip
MY4QD6HUYWjnyNk9jovhcZyRhnpDnGX11osSq9dN9g6JQRvZC3RPK3CLRrxtX3fpx64g7boG5CxFWXNydrxP743	5JfAcKovuMwUL3eY2x6AynQb7dgR25MwCJQSj7C9fQt5	1787278300	BUY	9600	-9600	-20000	2855839	6	B9VBSL3gysgs3A3AfewpAE42GEd99xTB8txdxdB32kYt	350657682	347800410	2428355	2448355	pumpswap	0	0	0
4xL9qUNoKzEUEaPetrUoiMrg9SMweWStSCQ5hTn2N6fQ6iWYiTosKby7Gtz6y2Kxt8VWs7p7E7zvhDtMA155i49j	5JfAcKovuMwUL3eY2x6AynQb7dgR25MwCJQSj7C9fQt5	1787917227	SELL	3352439	-14512235	223195924	-2855815	6	B9VBSL3gysgs3A3AfewpAE42GEd99xTB8txdxdB32kYt	2374696	5229087	409346968	186151044	pumpswap	1	0	11159796
5xjtr5PJ5mgjPxbcXE5ZB7jVo57ToNo4viEEYsqtcwDoSh6RCQJaGG4pGo3NMUHgju1w68w7YNNRrGMukuMBGL71	5JfAcKovuMwUL3eY2x6AynQb7dgR25MwCJQSj7C9fQt5	1787917227	BUY	9600	-9600	-20000	558	6	B9VBSL3gysgs3A3AfewpAE42GEd99xTB8txdxdB32kYt	5229087	5228528	186151044	186171044	pumpswap	0	0	0
5s1ApeP3Y8PWAL2tkm1CtMGjwRdMR6XG7ohfCnccApHd822g3z34FF8rDUHfmXVM21qG94M3wvFgnPy8jC85uewK	2sNgrxbrBvRL3cje8p6PBvwzH8oJLtwkiBQKJuvyErCr	1787878432	BUY	9600	-2083680	-20000	125241535	6	4wPjJcfbPvTLCKUEPvJiqU5iVX5xaxxu6qSEAN99zE4P	609186514073617	609186388769272	96990000000	96990020000	pumpswap	0	2074080	0
5bJb3qxuUPHXNmYFs8nFD6T94F6UUoo7Sxcox7dYQgTpF1eWMUG4dQziqwZyKAoaVMjY1r9aD3AjUJVcmwMXbwrk	2sNgrxbrBvRL3cje8p6PBvwzH8oJLtwkiBQKJuvyErCr	1787907371	SELL	10480528	-10480528	46658402	-21042	6	4wPjJcfbPvTLCKUEPvJiqU5iVX5xaxxu6qSEAN99zE4P	21	21052	46705112	46710	pumpswap	1	0	0
287G3capZ9zwLu3KnA6T1Km3uXfCXZFXeDqWC3ES3a3fM7YW3a4QYxUGv91qeD9ZdNTJTtJAzsiWwYEEsEwzwqwH	2sNgrxbrBvRL3cje8p6PBvwzH8oJLtwkiBQKJuvyErCr	1787913774	SELL	5525	-21548763	46786291	-32859	6	4wPjJcfbPvTLCKUEPvJiqU5iVX5xaxxu6qSEAN99zE4P	69	32911	46884837	98546	pumpswap	1	0	21543238
3gWVHfYtesEq9tUs8BkvQYEGR1tfuLLH9gSXPagE98e29tJU3njQJFy5u7Lxaf1x31xnnST5ZYE7tFUhjdT73xs3	2sNgrxbrBvRL3cje8p6PBvwzH8oJLtwkiBQKJuvyErCr	1787914304	SELL	10297449	-14978107	46759770	-46479	6	4wPjJcfbPvTLCKUEPvJiqU5iVX5xaxxu6qSEAN99zE4P	149	46604	46910127	150357	pumpswap	1	0	4680658
5dsjYXL7x7f7EzNqt7Pz8DULUjBjxDisqxQUbmXu4sJoJoDaNq3sjepkVDdreUaecrqRtq7KH1Ms3BQX5mF8jR4v	2sNgrxbrBvRL3cje8p6PBvwzH8oJLtwkiBQKJuvyErCr	1787914324	SELL	10503298	-10503298	46759770	-61015	6	4wPjJcfbPvTLCKUEPvJiqU5iVX5xaxxu6qSEAN99zE4P	263	61247	46961938	202168	pumpswap	1	0	0
4uGNessdRjsxxMNgbBTxbcZLaannQ3CGjiibyjDbwrYaNwADyZTzmPCEwnseAXnGU83NHhiCAytyJyXnjMPMH7Cs	2sNgrxbrBvRL3cje8p6PBvwzH8oJLtwkiBQKJuvyErCr	1787914389	SELL	10498339	-10498339	46737681	-16471	6	4wPjJcfbPvTLCKUEPvJiqU5iVX5xaxxu6qSEAN99zE4P	300	16762	47591650	853969	pumpswap	1	0	0
39DwNReRJXQeRFntE67SidNj4H5X2ibx6BnkynB819wiNun82vcULUKdFNHVpwaLpBnWzfahTmJdszg86LP3Edye	2sNgrxbrBvRL3cje8p6PBvwzH8oJLtwkiBQKJuvyErCr	1787915720	BUY	9600	-9600	-20000	48965749682	6	4wPjJcfbPvTLCKUEPvJiqU5iVX5xaxxu6qSEAN99zE4P	49115544605	125238378	1	20001	pumpswap	0	0	0
5X7Tp7DUdLF6iKXhxfqcM4aKg81tULEWNgDZreLi1maDjP8eKtE2TVHgh6KdJYD5E8Z947eVnKeqtt7aCQTgWSPM	AopriLSFAZg8dkArfzdLH1G6RpptUEXifF3egTLR3ren	1787908508	BUY	9600	-2048880	-20000	202077329	6	HMsf2LLawJCcXhNER6J9Yqb2ns2z9kgZ6gnr11raiMD9	999999351373840	999999149296511	98670064160	98670084150	pumpswap	0	2039280	0
4RixEoKLTDukjMWoMcZ11RZZimiR7VYc5VfSJXKxZCi3co6QUKT8gxUSX5pq7FB56udAybc6h9q2yQjjGC7Q5QWj	AopriLSFAZg8dkArfzdLH1G6RpptUEXifF3egTLR3ren	1787910022	SELL	48652362	-48652362	316718940	-999	6	HMsf2LLawJCcXhNER6J9Yqb2ns2z9kgZ6gnr11raiMD9	1	1000	317989946	1112170	pumpswap	1	0	0
4dPwTBQT5d31ZSTAmUJmtf5jWdQa4hzYoyRy9NmvCh6KEf4Qp85EBh16f6oPBpRMafgtNE9pQGyxpqokVvTNQX2s	72cjKRD7v6gMaaiaVgCds6pmMB6wQaNYPYPkEcEnkn6g	1787907176	BUY	9600	-2083680	-20000	518389	6	AU4Kh3xUQShK6ETuUqAgQkv4rmogccP6PPWox87nQGz7	2599750000000	2599749481351	100000000000	100000020000	pumpswap	0	2074080	0
3hTTEZNsXtZ4EzSrYQw3WS5UGz9oWXdmyWAg8hDoR5Z8TaTU9jRBuL43G6k3a99XTSXLgqkXCeBZGzj4om5LSgqS	72cjKRD7v6gMaaiaVgCds6pmMB6wQaNYPYPkEcEnkn6g	1787908604	SELL	12646332	-18394664	57425831	-5997	6	AU4Kh3xUQShK6ETuUqAgQkv4rmogccP6PPWox87nQGz7	6	6000	57483469	57638	pumpswap	1	0	5748332
